id,marca,nombre,qty_sellado,qty_decant10,qty_decant5,qty_decant3
turathi-blue,Afnan,Turathi Blue,10,10,10,10
amber-oud-dubai,Al Haramain,Amber Oud Dubai Night,0,10,10,10
odyssey-aqua,Armaf,Odyssey Aqua,0,10,10,10
tag-him,Armaf,Tag-Him Rosso,0,10,10,10
dior-sauvage-elixir,Dior,Sauvage Elixir,0,10,10,10
nitro-white,Dumont,Nitro White,0,10,10,10
atlantis-extrait,French Avenue,Atlantis Extrait,0,10,10,10
liquid-brun,French Avenue,Liquid Brun,10,10,10,10
vulcan-feu,French Avenue,Vulcan Feu,10,10,10,10
swy-powerfully,Giorgio Armani,Stronger With You Powerfully,0,10,10,10
gentleman-edp,Givenchy,Gentleman EDP,0,0,0,0
jean-paul-gaultier-le-male-elixir,Jean Paul Gaultier,Le Male Elixir,0,10,10,10
afeef,Lattafa,Afeef,0,10,10,10
art-universe,Lattafa,Art Of Universe,0,10,10,10
asad-bourbon,Lattafa,Asad Bourbon,10,10,10,10
lattafa-asad-elixir,Lattafa,Asad Elixir,0,10,10,10
eclaire,Lattafa,Eclaire,10,10,10,10
his-confession,Lattafa,His Confession,10,10,10,10
honor-glory,Lattafa,Honor & Glory,0,10,10,10
khamrah-qahwa,Lattafa,Khamrah Qahwa,0,10,10,10
musamam,Lattafa,Musamam,10,10,10,10
opulent-dubai,Lattafa,Opulent Dubai,10,10,10,10
pisa,Lattafa,Pisa,0,10,10,10
yara,Lattafa,Yara,0,10,10,10
yara-candy,Lattafa,Yara Candy,10,10,10,10
jean-lowe-vibe,Maison Alhambra,Jean Lowe Vibe,0,10,10,10
philos-pura,Maison Alhambra,Philos Pura,0,0,0,0
sceptre-malachite,Maison Alhambra,Sceptre Malachite,0,10,10,10
prada-lhomme,Prada,Prada L'Homme,0,10,10,10
hawas-fire,Rasasi,Hawas Fire,10,10,10,10
hawas-malibu,Rasasi,Hawas Malibu,10,10,10,10
hawas-tropical,Rasasi,Hawas Tropical,10,10,10,10
aquatica,Rayhaan,Aquatica,0,10,10,10
obsidian,Rayhaan,Obsidian,10,10,10,10
terra,Rayhaan,Terra,0,10,10,10
tropical-vibe,Rayhaan,Tropical Vibe,0,10,10,10
xerjoff-erba-pura,Xerjoff,Erba Pura,0,10,10,10
xerjoff-naxos-1861,Xerjoff,XJ 1861 Naxos,0,10,10,10
ysl-myslf-le-parfum,Yves Saint Laurent,MYSLF Le Parfum,0,10,10,10
ysl-y-eau-de-toilette,Yves Saint Laurent,Y Eau de Toilette,0,10,10,10
